
==== Front
BMJ OpenbmjopenbmjopenBMJ Open2044-6055BMJ Group BMA House, Tavistock Square, London, WC1H 9JR bmjopen-2011-00008710.1136/bmjopen-2011-000087Genetics and GenomicsResearch1506169717121692Interaction of early environment, gender and genes of monoamine neurotransmission in the aetiology of depression in a large population-based Finnish birth cohort Early environment, gender and genes in depressionNyman Emma S 123Sulkava Sonja 124Soronen Pia 12Miettunen Jouko 56Loukola Anu 12Leppä Virpi 123Joukamaa Matti 78Mäki Pirjo 5Järvelin Marjo-Riitta 91011Freimer Nelson 12Peltonen Leena 1231314Veijola Juha 56Paunio Tiina 1241 Public Health Genomics Unit, Institute for Molecular Medicine Finland FIMM, University of Helsinki and National Institute for Health and Welfare, Helsinki, Finland2 National Institute for Health and Welfare, Helsinki, Finland3 Department of Medical Genetics, University of Helsinki, Helsinki, Finland4 Department of Psychiatry, Helsinki University Central Hospital, Helsinki, Finland5 Department of Psychiatry, University of Oulu and Oulu University Hospital, Oulu, Finland6 Academy of Finland, Helsinki, Finland7 Tampere School of Public Health, University of Tampere, Tampere, Finland8 Department of Psychiatry, Tampere University Hospital, Tampere, Finland9 Institute of Health Sciences, University of Oulu, Oulu, Finland10 Department of Epidemiology and Public Health, Imperial College, London, UK11 Department of Child and Adolescent Health, National Public Health Institute, Helsinki, Finland12 Semel Institute for Neuroscience and Human Behavior, University of California, Los Angeles, California, USA13 Program in Medical and Population Genetics, The Broad Institute of MIT and Harvard, Cambridge, Massachusetts, USA14 Wellcome Trust Sanger Institute, Cambridge, UKCorrespondence to Dr Tiina Paunio; tiina.paunio@thl.fi2011 27 8 2011 27 8 2011 1 1 e00008731 1 2011 27 6 2011 © 2011, Published by the BMJ Publishing Group Limited. For permission to use (where not already granted under a licence) please go to http://group.bmj.com/group/rights-licensing/permissions.2011This is an open-access article distributed under the terms of the Creative Commons Attribution Non-commercial License, which permits use, distribution, and reproduction in any medium, provided the original work is properly cited, the use is non commercial and is otherwise in compliance with the license. See: http://creativecommons.org/licenses/by-nc/2.0/ and http://creativecommons.org/licenses/by-nc/2.0/legalcode.Objectives
Depression is a worldwide leading cause of morbidity and disability. Genetic studies have recently begun to elucidate its molecular aetiology. The authors investigated candidate genes of monoamine neurotransmission and early environmental risk factors for depressiveness in the genetically isolated population-based Northern Finland Birth Cohort 1966 (12 058 live births).

Design
The authors ascertained and subdivided the study sample (n=5225) based on measures of early development and of social environment, and examined candidate genes of monoamine neurotransmission, many of which have shown prior evidence of a gene–environment interaction for affective disorders, namely SLC6A4, TPH2, COMT, MAOA and the dopamine receptor genes DRD1–DRD5.

Results and conclusion
The authors observed no major genetic effects of the analysed variants on depressiveness. However, when measures of early development and of social environment were considered, some evidence of interaction was observed. Allelic variants of COMT interacted with high early developmental risk (p=0.005 for rs2239393 and p=0.02 for rs4680) so that the association with depression was detected only in individuals at high developmental risk group (p=0.0046 and β=0.056 for rs5993883–rs2239393–rs4680 risk haplotype CGG including Val158), particularly in males (p=0.0053 and β=0.083 for the haplotype CGG). Rs4274224 from DRD2 interacted with gender (p=0.017) showing a significant association with depressiveness in males (p=0.0006 and β=0.0023; p=0.00005 and β=0.069 for rs4648318–rs4274224 haplotype GG). The results support the role of genes of monoamine neurotransmission in the aetiology of depression conditional on environmental risk and sex, but not direct major effects of monoaminergic genes in this unselected population.

Article summary
Article focus
Impact on depression of monoaminergic candidate genes with prior evidence of gene–environment interaction for affective disorders, and of dopamine receptor genes.

Gene–environment and gene–gender interactions in the aetiology of depression.

Effect of measures of early development and of social environment on depression.

Key messages
Genes of monoamine neurotransmission play a role in the aetiology of depression conditional on environmental risk, especially in males and in individuals at high early developmental risk group; in particular, there is evidence of an interaction with a COMT high-risk haplotype including Val158.

Gender-specific mechanisms and responses to environmental effectors are evident in the regulation of mood.

Strengths and limitations of this study
Depression as defined does not necessarily imply clinical diagnosis of major depression but is based on a self-report or Hopkins Symptom Check List-25 score. Despite this, the prevalence of depressed mood was in the same range as that in earlier reports.

There was a notable drop-out rate of about half of the original cohort members.

The choice of measures of early development and of social environment was limited by the availability of variables collected.

Advantages include the availability of longitudinal follow-up data starting antenatally, enabling inclusion of the environmental dimension without recall bias.

The cohort’s unique genetic structure with isolation and more genetic homogeneity permits identification of genetic-risk loci that may be missed when using more heterogeneous populations.

The subjects are representative of the population, with all cohort members born in the same year and within a geographically defined area.

The study sample’s size is sufficient for identifying genetic variants of moderate impact.

Both genders are represented in almost equal amounts; gender differences exist in both depression and temperament traits such as harm avoidance.

As the sample is a 1-year birth cohort, genetic effects may be isolated from the effects of ageing; some psychiatric traits such as harm avoidance are age-dependent.

EnvironmentmonoaminegenedepressionCohort Study, Psychiatrydepression and mood disordersgeneticsmental healthchild and adolescent psychiatryschizophrenia and psychotic disordersBMJ open
==== Body
Introduction
Depression is a major cause of morbidity worldwide, with major depression affecting 5–7% of the population annually and 16% over a lifetime.1 Although a genetic component in the aetiology of major depression is evident with a 40–50% heritability,2 the predisposing genetic background has so far remained largely undefined, and recent findings from genome-wide association studies also point to a complex underlying architecture.3 Depressed patients frequently exhibit comorbidities such as anxiety and alcohol abuse,4 and certain personality types5–7 have been associated with depression proneness.

Environmental risk factors, in particular stressors influencing during development,8 are considered to have a significant impact on the development and course of depression. It is likely that many of the genetic risk factors for depression interact with the early developmental environment, but recapture of these interactions has remained a challenge for aetiological studies of depression. Although the interplay between genes and environment has been investigated with respect to several psychiatric disorders9 10 including depression, this vast subject still remains largely unexplored. On the other hand, addressing the effects of genes and environment on psychiatric morbidity enables us to examine the two main constituents in their aetiology. Therefore, we wanted to include the environmental dimension in our study in order also to explore gene–environment interactions (G×E).

According to the monoamine hypothesis, depression is caused by underactivity in brain monoamines, such as dopamine, serotonin and norepinephrine.11 Recent results of neuroimaging studies have provided further support for this theory.12 The most solid evidence from candidate gene studies has perhaps been obtained for the interaction of the SLC6A4 gene for serotonin transporter and stressful early and current life events,13 including positive results from a recent review14 and meta-analysis of all studies to date,15 although there are also contradicting results.16 Other robust genetic findings have been obtained on the COMT gene for catechol-O-methyltransferase, an enzyme catabolising catecholamines such as dopamine and norepinephrine, which has been implicated in depression in conjunction with stress,17 and on the MAOA gene for monoamine oxidase A, an enzyme-oxidising neurotransmitter and dietary monoamines such as serotonin, norepinephrine and dopamine, which has been associated with depression in interaction with severity of maltreatment in childhood.17 Furthermore, the TPH2 gene for tryptophan hydroxylase 2, which is the brain-specific form of the key enzyme in serotonin synthesis, has been implicated to interact with stress on disorders of cognitive control and emotional regulation, including depression.18 Within the dopamine transmission, the DRD2 gene for dopamine receptor D2 has been associated with depressiveness and anxiety, combined with an effect of parenting in childhood,19 and the DRD4 gene for dopamine receptor D4 has been associated with an increased risk for obesity in women with seasonal affective disorder.20 Thus, genes from the monoamine neurotransmission system are among the most thoroughly studied in psychiatric genetics and in particular in the aetiology of mood disorders, and have provided perhaps the most robust evidence so far for interaction with various types of risk environments, including childhood environment.

We chose to include these candidate genes of monoamine neurotransmission showing prior evidence of gene–environment interaction, including SLC6A4, TPH2, COMT, MAOA, as well as the dopamine receptor genes DRD1–DRD5, in our study on the aetiology of depression with a particular focus on their interaction with available markers reflecting measures of early development and of social environment. The study was performed in a sample of 5225 individuals from a large Finnish isolated population cohort. As gender is an important confounder for depression and at least some of the genetic liability is gender-specific,2 we also examined gene–gender interactions in this sample.

Methods
Setting
We utilised the genetically isolated Northern Finland Birth Cohort (NFBC 1966) to investigate the effects of candidate genes and environmental risk factors during the development on depressiveness. We subdivided the study sample based on measures of early development arising from the fetal growth environment and neurological development during the first year of life (measure of early development) as well as from the family environment during pregnancy and early childhood (measure of social environment). We examined interactions of these measures with candidate genes of the monoamine neurotransmitter systems, which have prior evidence of gene–environment interactions on affective disorders, namely SLC6A4, TPH2, COMT, MAOA and the dopamine receptor genes DRD1–DRD5.

Study subjects
The Northern Finland Birth Cohort 1966 (NFBC 1966) is a longitudinal 1-year birth cohort from an unselected population (N=12 058 live births) comprising inhabitants of the two northernmost provinces of Finland.21 Data collection was begun during the antenatal period, and follow-up studies were performed at the ages of 1, 14 and 31 years. The cohort study was approved by the Ethical Committee of Oulu University Faculty of Medicine, and written informed consent was obtained from all participants.

In 1997, for the 31-year follow-up study22 all alive cohort members with a known address (N=11 540) were sent a postal questionnaire surveying lifestyle, social status and health (76% participated), including the Hopkins Symptom Check List-25 (HSCL)23 and items on self-reported lifetime depression diagnosis (eg, ‘Has your doctor ever diagnosed a depressive disorder?’). Additionally, cohort members who lived in Northern Finland or had moved to the Helsinki area (N=8465) were invited to a clinical examination (71% participated) with another questionnaire to be filled in later and sent to the research group (61% participated).24 It included, among others, a validated Finnish translation of Cloninger's Temperament and Character Inventory (TCI) questionnaire.25

Current depressive symptoms were assessed by the HSCL questionnaire,26 a 25-item shortened version of an originally 90-item questionnaire. HSCL contains 13-item depression and 10-item anxiety subscales assessing presence and intensity of depressive and anxiety symptoms during the previous week. Answers are scored on a scale from 1 (not bothered) to 4 (extremely bothered). The HSCL total score is the sum of items divided by the number of items answered. We used mainly HSCL total score, as symptoms of depression and anxiety are known to overlap significantly. In the post hoc analyses, in order to better understand the original association signals, the separate HSCL subscales for depressive and anxiety symptoms were also taken into consideration. In addition to current depressive symptoms (HSCL score) and lifetime (diagnosed) depression, we used the TCI temperament trait Harm avoidance5–7 and its subcomponents as a measure of proneness to depression.

The subjects (n=5225; 2509 males, 2716 females; 45% of the 31 year follow-up study sample or 43% of the original study sample) were divided into high- and low-risk groups based on the available information reflecting measures of early neurodevelopment and of social environment (table 1). The markers for the measure of high early developmental risk included (1) low birth weight (<2500 g),21 considered to reflect suboptimal growth environment during fetal life and to increase risk for somatic and psychiatric diseases such as depression in adulthood;27 (2) late motor development as reflected by first standing later than at the age of 10 months;28 and (3) late development of speech, defined by no words at the age of 1 year.28 If two of these risk indicators were present, the subject was classified as having experienced a high-risk environment for early brain development. The markers for the measure of high social risk environment included the occurrence of two or more of the following five indicators for high-risk social environment during pregnancy and early childhood: (1) unwanted pregnancy (rated by mothers of the cohort members at the sixth or seventh month of pregnancy),29 (2) low socio-economic status, shown to be linked with depression in the offspring in earlier studies,30 as defined by father's occupation at birth (no occupation, unskilled worker, or farmer with area under cultivation under 8 hectares), (3) single parenthood at birth, (4) low level of education of mother (less than 9 years of primary school) and (5) low level of information retrieval by the mother related to pregnancy and childcare. There was no significant drop-out in either of the high-risk groups, as 43% and 41% of the individuals of high early developmental and social risk groups, and 47% and 46% of those of the respective low-risk groups, were available for study.

Table 1 Composition of the study sample from the NFBC 1966

	N	Hopkins Symptom Check List score>1.75*	Depression diagnosis	Measure of early development†	Measure of social environment‡	
High-risk§	Low-risk	nd¶	High-risk§	Low-risk	nd§	
Males	2509	169 (7%)	79 (3%)	229 (9%)	2094 (83%)	186 (7%)	912 (36%)	1574 (63%)	23 (0.9%)	
Females	2716	269 (10%)	136 (5%)	193 (7%)	2328 (86%)	195 (7%)	1034 (38%)	1649 (61%)	33 (1.2%)	
All	5225	438 (8%)	215 (4%)	422 (8%)	4422 (85%)	381 (7%)	1946 (37%)	3223 (62%)	56 (1.1%)	
* There is prior support for using the Hopkins Symptom Check List score 1.75 as a cut-off when aiming to identify clinical depression.

† Defined by the presence of two out of three possible indicators for high early developmental risk: low birth weight, late motor development and late development of speech.

‡ Defined by the presence of two out of five possible indicators for high social risk environment: unwanted pregnancy, low socio-economic status, single parenthood, low level of education of mother and low activity for information retrieval by the mother. For further details, see text.

§ Both high early developmental and social risk present in 92 males (3,6%) and 67 females (2,4%).

¶ Not defined.

Genotyping methods
We investigated genes relevant within the context of the monoamine hypothesis of depression: SLC6A4, TPH2, COMT, MAOA and the dopamine receptor genes DRD1–DRD5 (table 2). The genotyping was performed at the Broad Institute (Cambridge, MA) on the HumanCNV370-duo chip (Illumina, San Diego, California) platform according to the manufacturer's instructions. The analysed SNPs included HapMap tag SNPs (http://www.hapmap.org/index.html.en) and were relatively evenly spaced to cover the genes and flanking regions.

Table 2 Interaction (G×E) and correlation (rGE) between genetic variants of genes of monoamine neurotransmission and measures of early development (G×EDev, rGEDev)* and of social environment (G×ESoc, rGSoc)† and gender (G×Sex) on current depressive symptoms (Hopkins Symptom Check List score), and genetic association with Hopkins Symptom Check List score in the complete study sample from the NFBC 1966 (All)

Gene	Gene name	Chromosome	SNP	Position/bp	Minor allele	MAF‡	P (G×EDev)	P (G×ESoc)	P (G×sex)	P (All)	P (rGEDev)	P (rGSoc)	
SLC6A4	Serotonin transporter	17	rs1906451	25539605	G	0.44	0.608	0.363	0.784	0.268	0.747	0.035	
			rs3794808	25555919	A	0.41	0.365	0.263	0.799	0.320	0.402	0.064	
			rs140700	25567515	A	0.09	0.133	0.460	0.037§§	0.876	0.209	0.614	
			rs2066713	25575791	A	0.46	0.253	0.499	0.505	0.550	0.778	0.092	
			rs8071667	25576899	A	0.15	0.473	0.682	0.122	0.606	0.961	0.827	
		
TPH2	Tryptophan hydroxylase 2	12	rs4131348	70610746	G	0.12	0.844	0.937	0.400	0.497	0.705	0.241	
			rs2129575	70626340	A	0.22	0.787	0.682	0.432	0.423	0.173	0.298	
			rs1386496	70637057	G	0.16	0.983	0.404	0.293	0.792	0.837	0.226	
			rs2171363	70646531	A	0.43	0.762	0.983	0.016§§	0.814	0.692	0.940	
			rs10506645	70671767	A	0.23	0.996	0.756	0.102	0.789	0.888	0.721	
			rs1386497	70678557	C	0.17	0.816	0.131	0.452	0.797	0.640	0.172	
			rs1487276	70691326	A	0.21	0.888	0.088	0.838	0.908	0.591	0.219	
			rs9325202	70693744	A	0.48	0.805	0.074	0.488	0.473	0.913	0.675	
			rs1487275	70696559	C	0.37	0.972	0.054	0.625	0.049***	0.861	0.638	
			rs1386483	70698761	A	0.47	0.574	0.090	0.326	0.437	0.294	0.625	
			rs1872824	70716581	A	0.35	0.652	0.121	0.211	0.494	0.772	0.331	
		
COMT	Catechol-O-methyltransferase	22	rs6518591	18304021	G	0.16	0.688	0.255	0.919	0.303	0.150	0.385	
			rs737866	18310109	G	0.18	0.028§	0.853	0.024§§	0.755	0.623	0.489	
			rs1544325	18311668	G	0.48	0.318	0.376	0.192	0.822	0.999	0.931	
			rs174675	18314051	A	0.29	0.465	0.278	0.580	0.958	0.724	0.532	
			rs5993883	18317638	C	0.36	0.230	0.495	0.025§§	0.920	0.363	0.219	
			rs2239393	18330428	G	0.31	0.005¶	0.765	0.256	0.930	0.838	0.459	
			rs4680	18331271	G	0.45	0.020**	0.956	0.501	0.346	0.412	0.498	
			rs4646316	18332132	A	0.18	0.205	0.165	0.933	0.026†††	0.521	0.392	
			rs165774	18332561	A	0.25	0.081	0.516	0.089	0.215	0.538	0.239	
			rs165815	18339473	G	0.20	0.537	0.309	0.431	0.281	0.338	0.158	
			rs887199	18341955	A	0.20	0.544	0.325	0.401	0.306	0.314	0.168	
			rs2239395	18342203	C	0.02	0.144	0.655	0.153	0.390	0.224	0.664	
		
MAOA	Monoamine oxidase A	X	rs909525	43438146	G	0.45	0.559	0.871	0.554	0.165	0.255	0.932	
			rs12843268	43458610	A	0.40	0.271	0.837	0.266	0.103	0.052	0.932	
			rs6610845	43472954	G	0.41	0.232	0.795	0.263	0.170	0.060	0.524	
			rs3027409	43491977	C	0.02	0.748	0.928	0.950	0.194	0.703	0.068	
			rs6609257	43497652	G	0.50	0.848	0.320	0.470	0.077	0.075	0.898	
			rs3027415	43499385	G	0.18	0.218	0.550	0.905	0.613	0.105	0.408	
		
DRD1	Dopamine receptor D1	5	rs265973	174793305	G	0.50	0.529	0.614	0.549	0.888	0.047	0.831	
			rs265974	174793846	G	0.35	0.391	0.612	0.912	0.659	0.066	0.859	
			rs265976	174795026	A	0.23	0.578	0.707	0.915	0.826	0.077	0.933	
			rs5326	174802802	A	0.19	0.615	0.886	0.852	0.588	0.273	0.197	
		
DRD2	Dopamine receptor D2	11	rs1800497	112776038	A	0.17	0.079	0.825	0.691	0.467	0.921	0.264	
			rs2242592	112784640	G	0.37	0.757	0.466	0.283	0.736	0.143	0.393	
			rs1076563	112801119	C	0.50	0.053	0.813	0.897	0.662	0.234	0.856	
			rs2471857	112803549	A	0.17	0.518	0.494	0.823	0.901	0.884	0.126	
			rs4620755	112814829	A	0.22	0.383	0.997	0.951	0.176	0.065	0.992	
			rs7125415	112815891	A	0.19	0.084	0.389	0.789	0.231	0.163	0.947	
			rs4648318	112818599	G	0.34	0.711	0.885	0.631	0.684	0.214	0.466	
			rs4274224	112824662	G	0.24	0.067	0.777	0.017¶¶	0.022‡‡‡	0.536	0.766	
			rs4581480	112829684	G	0.07	0.184	0.521	0.210	0.009§§§	0.082	0.760	
			rs7131056	112834984	C	0.49	0.564	0.795	0.413	0.964	0.622	0.138	
			rs4938019	112846601	G	0.23	0.069	0.651	0.643	0.584	0.320	0.059	
			rs12364283	112852165	G	0.08	0.280	0.504	0.441	0.861	0.633	0.804	
			rs10891556	112857971	A	0.24	0.076	0.519	0.638	0.589	0.380	0.052	
			rs6589377	112860946	G	0.17	0.286	0.617	0.061	0.552	0.502	0.915	
		
DRD3	Dopamine receptor D3	3	rs2087017	115324703	G	0.43	0.937	0.921	0.606	0.743	0.835	0.828	
			rs2134655	115340891	A	0.28	0.454	0.554	0.129	0.507	0.209	0.330	
			rs963468	115345577	A	0.38	0.809	0.777	0.902	0.608	0.609	0.580	
			rs3773678	115352768	A	0.06	0.780	0.855	0.487	0.770	0.972	0.556	
			rs2630351	115357749	A	0.03	0.954	0.144	0.168	0.999	0.811	0.211	
			rs167771	115358965	G	0.18	0.862	0.638	0.406	0.514	0.416	0.966	
			rs167770	115362252	G	0.31	0.260	0.911	0.298	0.694	0.593	0.982	
			rs226082	115363703	G	0.31	0.261	0.911	0.301	0.690	0.594	0.983	
			rs324029	115364313	A	0.31	0.259	0.913	0.296	0.722	0.593	0.964	
			rs10934256	115368342	A	0.17	0.229	0.898	0.478	0.246	0.147	0.669	
			rs1486009	115371222	G	0.12	0.721	0.667	0.745	0.571	0.387	0.600	
			rs6280	115373505	G	0.33	0.159	0.485	0.141	0.667	0.386	0.880	
			rs9825563	115382910	G	0.23	0.045††	0.902	0.211	0.215	0.028	0.927	
		
DRD4	Dopamine receptor D4	11	rs3758653	626399	G	0.23	0.300	0.752	0.249	0.980	0.322	0.905	
			rs11246226	631191	A	0.49	0.749	0.748	0.166	0.925	0.908	0.097	
		
DRD5	Dopamine receptor D5	4	rs1878943	9375986	A	0.21	0.586	0.686	0.482	0.386	0.988	0.605	
			rs13106539	9406801	G	0.39	0.735	0.062	0.067	0.044¶¶¶	0.532	0.384	
The analyses were performed using PLINK's linear and logistic regression models and interaction analysis. Empirical p values based on max(T) permutation are reported, with p values <0.05 shown in bold.

* Defined by the presence of two out of three possible indicators for high early developmental risk: low birth weight, late motor development and late development of speech.

† Defined by the presence of two out of five possible indicators for high social risk environment: unwanted pregnancy, low socio-economic status, single parenthood, low level of education of mother and low activity for information retrieval by the mother.

‡ Minor allele frequency.

§ p=0.0364 (β=0.0414).

¶ p=0.008 (β=0.0440).

** p=0.042 (β=0.0320).

†† p=0.022 (β=–0.0396) in individuals at high risk group.

§§ p>0.05 in both genders.

¶¶ p=0.0006 (β=0.023) in males.

*** β=0.008.

††† β=0.012.

‡‡‡ β=0.011.

§§§ β=0.022.

¶¶¶ β=−0.

Statistical analysis
LD structures were determined using HAPLOVIEW. Interaction and association/correlation analyses using linear and logistic regression with permutation were performed using PLINK Software Package Version 1.04, in a stepwise manner to maximise our ability to detect associations and to minimise multiple testing. First, analyses were primarily performed to identify genetic risk variants for current depressive symptoms (HSCL score) interacting with measures of early development (G×EDev) and of social environment (G×ESoc). For variants giving significant evidence of interaction, we also performed analyses separately in subgroups at high and low risk, respectively. As gender is an important confounder for depression, and at least some of the genetic liability is gender-specific,2 we also examined gene–gender interactions (GxSex). For variants showing significant evidence of gene–gender interaction, we also performed analyses separately in males and females. In order to achieve a more complete view of the effects of the examined genes on depressive symptoms in the cohort, we also examined their influence on the gender-adjusted HSCL score in the complete sample regardless of environmental effectors. Finally, we tested for gene–environment correlations (rGEDev and rGSoc) and associations of the risk environments with the HSCL score (PASW Statistics 18, linear regression model). Second, haplotype analyses were performed when two SNPs located at physically close vicinity had given association signals of p<0.05 when analysed separately. Third, genetic variants and haplotypes which had been identified in the previous analyses were analysed post hoc with respect to HSCL subscales (depressive and anxiety symptoms), depression diagnosis and TCI temperament Harm avoidance. We report pointwise empirical p values generated by PLINK's max(T) permutation (10 000 permutations) throughout the manuscript, and state explicitly where corrected empirical p values are reported. SNPs with Hardy–Weinberg Equilibrium p values <0.05 were excluded from all analyses.

Results
Gene–environment and gene–gender interaction and association analyses in relation to the HSCL score
We examined the effects of nine candidate genes of monoamine neurotransmission on current depressive symptoms (HSCL score) in a longitudinal population-based NFBC 1966 cohort. In particular, we searched for evidence of interaction of variants in these genes with two measures of early growth, one with indicators for potentially disturbed neurobehavioural development (measure of early development) and the other with risk factors from social environment for normal emotional development (measure of social environment). The results are presented in table 2 in which nominal p values are reported.

Out of the 69 genetic variants examined, none gave a statistically significant association signal with depressiveness or for an interaction with measures of early development or of social environment, which would survive correction for multiple testing. We observed nominal evidence for association with the HSCL score (p<0.05) in the complete sample in the cases of rs1487275 in TPH2, (p=0.049, β=0.008), rs4646316 in COMT (p=0.026, β=0.012), rs4274224 and rs4581480 in DRD2 (p=0.022, β=0.011; and p=0.009, β=0.022, respectively), and rs13106539 in DRD5 (p=0.044, β=−0.008). Three variants of COMT and one of DRD3 showed some evidence of interaction (p<0.05) with high early developmental risk with respect to the HSCL score (p=0.028 for rs737866, p=0.005 for rs2239393 and p=0.020 from rs4680 from COMT, and rs9825563, p=0.045 from DRD3). All of these were associated with the HSCL score in individuals of the high-risk group (p=0.036, β=0.0414 for rs737866; p=0.008, β=0.0440 for rs2239393; p=0.042, β=0.0320 for rs4680; and p=0.022, β=−0.0396 for rs9825563, respectively). None of the variants gave any evidence of interaction with the measure of social environment in relation to the HSCL score. Five of the genetic variants showed some evidence of interaction with gender (p<0.05), including rs737866 and rs5993883 in COMT and rs4274224 in DRD2. Out of these, only rs4274224 was associated at p<0.05 with one of the genders (p=0.0006, β=0.023 in males). The evidence for gene–environment correlations (rGE) was observed only nominally about rs1906451 from TPH2 (p=0.035), rs265973 from DRD1 (p=0.047) and rs9825563 from DRD3 (p=0.028). Despite a priori evidence for the role of the markers which indicate a high developmental risk for psychiatric health and well-being, namely low birth weight21 27 and late motor or verbal development,28 there was no correlation between these markers and the HSCL score in the present sample (p=0.131), whereas the social high-risk environment correlated significantly with the score (p=0.00001).

Although none of the association findings of these primary analyses survived correction for multiple testing, post hoc association analyses in gender groups led to a finding close to statistical significance, even when taking into account the amount of multiple testing performed (p=0.0006 for males with rs4274224 in DRD2). Furthermore, as there was an accumulation of association signals within two highly plausible candidate genes, DRD2 and COMT, we proceeded to perform haplotype analyses on these genes in order to better characterise the allelic variants which yielded the observed suggestive associations, and to obtain a maximal amount of information on the nature of the associations observed.

Haplotype analysis of COMT and DRD2 variants in relation to the HSCL score
We performed 2-SNP and 3-SNP haplotype analyses combining rs2239393 and rs4680 from COMT and their neighbouring variants using the sliding window approach. Evidence of association was observed for the rs5993883–rs2239393 haplotype CG spanning a region from the space between LD blocks 1 and 2 to block 2 of COMT (supplementary figure 1) (p=0.0049, β=0.055), for the rs2239393–rs4680 haplotype GG in block 2 (p=0.0072, β=0.044) and the rs5993883–rs2239393–rs4680 haplotype CGG (p=0.0046, β=0.055) in the high early developmental risk group, in agreement with analyses using single variants (table 3). As rs5993883 from the haplotype had also given evidence of interaction with gender (table 2), we further examined haplotype association in males and females of the high-risk group separately. We found that the haplotypes increased the risk for depressive symptoms in males, but not in females (p=0.004, β=0.083 for rs5993883–rs2239393 haplotype CG; p=0.0037, β=0.072 for rs2239393–rs4680 haplotype GG; and p=0.0053, β=0.083 for rs5993883–rs2239393–rs4680 haplotype CGG) (table 3). As is evident from the β-values, each of the haplotypes accounts for more variance in depression than any individual constituent SNP.

Table 3 Haplotype analysis of COMT variants on current depressive symptoms (Hopkins Symptom Check List score) in individuals at high early developmental risk group (EDev)* from the NFBC 1966

Gene	Variant	Haplotype	Frequency	Males and females at high risk EDev	Males at high risk EDev	Females at high risk EDev	
β	p Value	β	p Value	β	p Value	
COMT	2-SNP haplotype analysis									
 rs5993883–rs2239393	CG	0.21	0.0552	0.0049	0.0828	0.0040	0.0216	0.4420	
 rs2239393–rs4680	GG	0.32	0.0440	0.0072	0.0720	0.0037	0.0119	0.4914	
	AA	0.55	−0.0320	0.0428	−0.0411	0.0827	−0.0207	0.3370	
 rs4680–rs4646316	GA	0.17	0.0434	0.0331	0.0624	0.0226	0.0206	0.3950	
3-SNP haplotype analysis									
